,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
0,tt0245429,Le voyage de Chihiro,Adventure,700912,2001.0,125.0,8.6,https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['Japan'],"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",tt0347149,tt0910970,tt0101414,tt0096283,https://www.youtube.com/embed/ByXuk9QqQkk,https://Trailers.to/player/embed/imdb/tt0245429
1,tt0073000,Grand Prix Pignon-sur-Roc,Animation,12979,1975.0,88.0,8.5,https://m.media-amazon.com/images/M/MV5BYzdkNjZmZWEtMzVmNi00Y2YwLWEyZDQtMzBlMDc2ZDlkNGFlXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['Norway'],Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car,tt0079820,tt0188404,tt0078915,tt0075811,,https://Trailers.to/player/embed/imdb/tt0073000
2,tt0910970,Wall-E,Adventure,1049671,2008.0,98.0,8.4,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@.jpg,['United States'],"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind",tt0245429,tt0101414,tt0347149,tt0096283,https://www.youtube.com/embed/Tbr_L9Gap_M,https://Trailers.to/player/embed/imdb/tt0910970
3,tt10472884,Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai,Animation,3475,2019.0,89.0,8.3,https://m.media-amazon.com/images/M/MV5BYjJmZGUyYmItNzBmNi00MTc0LTljNmUtNWU0NGYxZjVmYTUxXkEyXkFqcGdeQXVyMzgxODM4NjM@.jpg,['Japan'],A high school student's blissful days with his girlfriend are interrupted when his first crush returns in two forms.,tt10477558,tt3901826,tt6785292,tt2421732,https://www.youtube.com/embed/JqHS7nylmVQ,https://Trailers.to/player/embed/imdb/tt10472884
4,tt0347149,Le château ambulant,Adventure,361629,2004.0,119.0,8.2,https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['Japan'],"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle",tt0327597,tt0096283,tt3470600,tt0101414,https://www.youtube.com/embed/iwROgK94zcM,https://Trailers.to/player/embed/imdb/tt0347149
5,tt0096283,Mon voisin Totoro,Animation,313978,1988.0,86.0,8.2,https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['Japan'],"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby",tt0107688,tt0097757,tt0101414,tt0121164,https://www.youtube.com/embed/pU8BRWhj9_o,https://Trailers.to/player/embed/imdb/tt0096283
6,tt7236034,Je veux manger ton pancréas,Animation,12519,2018.0,109.0,8.1,https://m.media-amazon.com/images/M/MV5BNDM4MWE3NGQtODlkYS00NWU5LTg3ZjMtMTEyNjljOWI4NWIxXkEyXkFqcGdeQXVyNzkzODk2Mzc@.jpg,['Japan'],"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments",tt3398268,tt4489416,tt1119194,tt3901826,https://www.youtube.com/embed/MmoBvmJA9XI,https://Trailers.to/player/embed/imdb/tt7236034
7,tt1572781,La disparition de Haruhi Suzumiya,Animation,6862,2010.0,162.0,8.1,https://m.media-amazon.com/images/M/MV5BM2IxOGFkYzYtNzE5OS00Zjg3LWE5YmUtMDE5MWMwZWVlNWMxXkEyXkFqcGdeQXVyMjI2MDQxODA@.jpg,['Japan'],"On Dec.16, 5 friends in SOS Brigade (high school club) plan an Xmas party. On Dec.18, Haruhi +1 are missing and Kyon's 2 other friends don't know about the club.",tt4769824,tt4489416,tt10068158,tt0113824,https://www.youtube.com/embed/rcUiS0dpTkg,https://Trailers.to/player/embed/imdb/tt1572781
8,tt0268282,La forêt enchantée,Adventure,1417,1986.0,83.0,8.1,https://m.media-amazon.com/images/M/MV5BNzJkOTQ2MTktOTVhZi00NDVhLTgzYmUtYjU1YjEyZWRkMTY5XkEyXkFqcGdeQXVyNjUyMzA0MzY@.jpg,"['Yugoslavia', 'United States']","A painter who can temporarily talk to the creatures of an enchanted forest must help them stop the evil Cactus King, who's building an army of magical living weapons and machines to turn the forest into a wasteland perfect for the cacti.",N,a,N,,,https://Trailers.to/player/embed/imdb/tt0268282
9,tt0101414,La Belle et la Bête,Animation,430151,1991.0,84.0,8.0,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,tt0096283,tt0107688,tt0097757,tt0121164,https://www.youtube.com/embed/6vfCFxwa2kE,https://Trailers.to/player/embed/imdb/tt0101414
