,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
0,tt10342460,Une Vie de Renard,Documentary,11,2019.0,90.0,9.1,https://m.media-amazon.com/images/M/MV5BN2ZjN2JhZDQtZGZlNC00MmU2LWFiODktNmUxODMzNTkxMDhmXkEyXkFqcGdeQXVyNDAxOTIyMjk@.jpg,['Netherlands'],"A Wild Fox Life, chronicles the lives of three foxes, Hunter, Scar and Red who live on a large open savannah landscape in the Netherlands. Through the eyes and voice of Hunter, we follow how she grows up from being a 6 week old fox cub to raising cubs of her own. Filmmakers Ana Luisa Santos and Michael Sanderson followed and filmed these red foxes in the Dutch nature reserve Oostvaardersplassen. In this rare wildlife film, where every animal you see is 100% wild and free from manipulation, we delve into secret lives of truly wild foxes. Here they live and behave in a world without humans where they are the top predators and scavenge carcasses of large herbivores. Hunter hunts geese with high speed chases and Red shows his paternal tenderness towards his newborn cubs. We get to know the three siblings who take different paths in becoming adults. Come and take a journey inside the skin of Hunter, who will show you her side of the story in her wild fox life.']",tt6203844,tt2461906,tt2234537,tt3246158,,https://Trailers.to/player/embed/imdb/tt10342460
1,tt0038650,La vie est belle,Drama,424739,1946.0,130.0,8.6,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@.jpg,['United States'],An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed,tt0986264,tt0970179,tt0032138,tt2543472,https://www.youtube.com/embed/iLR3gZrU2Xo,https://Trailers.to/player/embed/imdb/tt0038650
2,tt3915438,Cousine Madenn,Biography,16,2015.0,73.0,8.6,https://m.media-amazon.com/images/M/MV5BMWQ0YzU2MjItZjRjYy00OGIyLWJhMDItZThjNzA0ODI5ZGZhXkEyXkFqcGdeQXVyNjY5MTIzMTk@.jpg,['France'],"Madenn, a young developmentally disabled woman, visits her cousin in Paris after a breakup. This film lets her speak for herself, freely and unreservedly, exploring her dynamic personality filled with dark tendencies and exuberance",tt2880472,tt0132477,tt2389530,tt1028532,,https://Trailers.to/player/embed/imdb/tt3915438
3,tt6203844,Anuktatop: the metamorphosis,Documentary,9,2016.0,112.0,8.6,https://m.media-amazon.com/images/M/MV5BYTExODRjYzItYzA5My00MDFlLWE3Y2YtMzVjNDczMGEzYzFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk3OTYxMjE@.jpg,"['France', 'French Guiana']","Little Derreck, a native American of the Wayana tribe on the river Maroni, is lost between dream and reality..",tt10342460,tt2461906,tt2234537,tt0318202,,https://Trailers.to/player/embed/imdb/tt6203844
4,tt0027977,Les temps modernes,Comedy,230262,1936.0,87.0,8.5,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],The Tramp struggles to live in modern industrial society with the help of a young homeless woman,tt0012349,tt0029947,tt0018742,tt0085334,https://www.youtube.com/embed/iXgJ5KiM33k,https://Trailers.to/player/embed/imdb/tt0027977
5,tt0986264,Taare Zameen Par,Drama,182150,2007.0,165.0,8.4,https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['India'],"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school",tt3607198,tt0067093,tt0058385,tt0420332,https://www.youtube.com/embed/tn_2Ie_jtX8,https://Trailers.to/player/embed/imdb/tt0986264
6,tt3607198,Punjab 1984,Drama,2063,2014.0,159.0,8.4,https://m.media-amazon.com/images/M/MV5BM2M1MGQyNjgtYWQ2My00MDViLWFkMDMtOTY2NDc0OTcxN2RlXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg,"['India', 'Canada']","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist",tt0986264,tt7596784,tt0067093,tt0420332,https://www.youtube.com/embed/1ZbW4agcxaE,https://Trailers.to/player/embed/imdb/tt3607198
7,tt2145778,Le monde doit m'arriver?,Comedy,51,2012.0,85.0,8.4,https://m.media-amazon.com/images/M/MV5BNDM5MjA5MTg4NF5BMl5BanBnXkFtZTgwMzg4MjQwMDE@.jpg,['France'],"Between fear of success and a tricky break-up, Ludovic is beyond all hope as he is getting close to the 30's stage. His unexpected meeting with a sick child, Raphael, shakes up his daily life and his future approach. Together, they go after their dreams...""]",tt2308493,tt3471578,tt0102629,tt0102571,,https://Trailers.to/player/embed/imdb/tt2145778
8,tt2041533,Histoires Tunisiennes,Drama,26,2012.0,110.0,8.4,https://m.media-amazon.com/images/M/MV5BMGY4MWYyZmEtMzlmMC00NGM2LWE1NGYtNjgyN2U1YTIwZGNkXkEyXkFqcGdeQXVyNjgzMjQ0MTA@.jpg,['Tunisia'],"Different stories of Tunisians people that lives in a society bubbling of pride , lust, desire , misery and anger.']",tt5005684,tt7596784,tt0476735,tt0191043,,https://Trailers.to/player/embed/imdb/tt2041533
9,tt0012349,Le Kid,Comedy,120969,1921.0,68.0,8.3,https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,['United States'],"The Tramp cares for an abandoned child, but events put that relationship in jeopardy",tt0018742,tt0027977,tt0058022,tt0039628,https://www.youtube.com/embed/O5WXokyub-4,https://Trailers.to/player/embed/imdb/tt0012349
