,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
0,tt0102926,Le Silence des agneaux,Crime,1342484,1991.0,118.0,8.6,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims",tt0081505,tt0084787,tt8239946,tt0365748,https://www.youtube.com/embed/-ycE-0_uBs4,https://Trailers.to/player/embed/imdb/tt0102926
1,tt0081505,Shining,Drama,953079,1980.0,146.0,8.4,https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['United Kingdom', 'United States']","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future",tt0102926,tt0084787,tt0098253,tt3461252,https://www.youtube.com/embed/FZQvIJxG9Xs,https://Trailers.to/player/embed/imdb/tt0081505
2,tt8239946,Tumbbad,Drama,37976,2018.0,104.0,8.3,https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@.jpg,"['India', 'Sweden']",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born,tt9010522,tt0365748,tt5052448,tt7914416,https://www.youtube.com/embed/ZjuhALyNgss,https://Trailers.to/player/embed/imdb/tt8239946
3,tt0084787,La Chose,Horror,396486,1982.0,109.0,8.1,https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"['United States', 'Canada']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims,tt0091064,tt0092991,tt0365748,tt0102926,https://www.youtube.com/embed/M2o2FRwn_hg,https://Trailers.to/player/embed/imdb/tt0084787
4,tt3461252,The Blue Elephant,Drama,27837,2014.0,170.0,8.1,https://m.media-amazon.com/images/M/MV5BNDkxMzk2ODU4N15BMl5BanBnXkFtZTgwNTM4NjIzMjE@.jpg,['Egypt'],"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying to help his friend he finds himself going down the rabbit hole.::Anonymous",tt9110340,tt5215952,tt5606664,tt1189073,https://www.youtube.com/embed/RIKclQFKFso,https://Trailers.to/player/embed/imdb/tt3461252
5,tt9010522,Aamis,Drama,2473,2019.0,107.0,8.0,https://m.media-amazon.com/images/M/MV5BODI2ZmFiMDEtOTE2MS00ZjkzLTlmOGMtZjBlYThjYmMwZWI3XkEyXkFqcGdeQXVyNzA0MTg0MzE@.jpg,['India'],"Two chaste lovers bow down to social taboos and repress their feelings, but doing so pushes them towards a horrific crime",tt8239946,tt5052448,tt7914416,tt0365748,https://www.youtube.com/embed/-zv11DpavFI,https://Trailers.to/player/embed/imdb/tt9010522
6,tt0365748,Shaun of the Dead,Comedy,534377,2004.0,99.0,7.9,https://m.media-amazon.com/images/M/MV5BMTg5Mjk2NDMtZTk0Ny00YTQ0LWIzYWEtMWI5MGQ0Mjg1OTNkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['United Kingdom', 'France', 'United States']","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse",tt0387564,tt0230600,tt5334704,tt3416742,https://www.youtube.com/embed/4gQ9oJYLG48,https://Trailers.to/player/embed/imdb/tt0365748
7,tt5052448,Get Out,Horror,537371,2017.0,104.0,7.7,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@.jpg,"['United States', 'Japan']","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",tt7914416,tt5334704,tt7984734,tt1457767,https://www.youtube.com/embed/xnGTjx-AVdc,https://Trailers.to/player/embed/imdb/tt5052448
8,tt3416742,Vampires en toute intimité,Comedy,170941,2014.0,86.0,7.7,https://m.media-amazon.com/images/M/MV5BMjAwNDA5NzEwM15BMl5BanBnXkFtZTgwMTA1MDUyNDE@.jpg,['New Zealand'],"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts",tt5334704,tt1156398,tt7914416,tt8173728,https://www.youtube.com/embed/WBly4AfHc3c,https://Trailers.to/player/embed/imdb/tt3416742
9,tt0092991,Evil Dead 2,Comedy,156071,1987.0,84.0,7.7,https://m.media-amazon.com/images/M/MV5BMWY3ODZlOGMtNzJmOS00ZTNjLWI3ZWEtZTJhZTk5NDZjYWRjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack,tt0091064,tt0106308,tt0087800,tt0083907,https://www.youtube.com/embed/7qBGnzz7mPI,https://Trailers.to/player/embed/imdb/tt0092991
10,tt7914416,Ne coupez pas!,Comedy,21404,2017.0,96.0,7.7,https://m.media-amazon.com/images/M/MV5BY2RhNTVhMTEtMzgyNi00NDg1LWIwYjktOTcxNDQyM2ZjNDE1XkEyXkFqcGdeQXVyMTY1NzY2NA@@.jpg,['Japan'],"Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies",tt5334704,tt5052448,tt3416742,tt6644200,https://www.youtube.com/embed/Du2XfUDfjN0,https://Trailers.to/player/embed/imdb/tt7914416
11,tt5334704,Twin Peaks: The Missing Pieces,Drama,10210,2014.0,91.0,7.7,https://m.media-amazon.com/images/M/MV5BNmMzNTM2MmEtZWFmNi00NWY2LWI1ZmItOWUyZWIyZDQxODkxXkEyXkFqcGdeQXVyMzg4NzMzODU@.jpg,"['France', 'United States']",Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.,tt3416742,tt7914416,tt1156398,tt5052448,https://www.youtube.com/embed/g5EqPZMZO4s,https://Trailers.to/player/embed/imdb/tt5334704
12,tt9110340,Andhaghaaram,Horror,3542,2020.0,171.0,7.7,https://m.media-amazon.com/images/M/MV5BNmY2MTM1Y2MtOTkzNS00YWQ1LTg2NzItMDAyMWI3MjM2NTU1XkEyXkFqcGdeQXVyMTI1NDEyNTM5.jpg,['India'],"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences",tt5215952,tt3461252,tt5606664,tt1396484,,https://Trailers.to/player/embed/imdb/tt9110340
13,tt1156398,Bienvenue à Zombieland,Adventure,546249,2009.0,88.0,7.6,https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@.jpg,['United States'],"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America",tt1465522,tt3416742,tt5334704,tt6644200,https://www.youtube.com/embed/NwxrW2nhpSE,https://Trailers.to/player/embed/imdb/tt1156398
14,tt0387564,Saw,Horror,400520,2004.0,103.0,7.6,https://m.media-amazon.com/images/M/MV5BMzQ2ZTBhNmEtZDBmYi00ODU0LTgzZmQtNmMxM2M4NzM1ZjE4XkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg,['United States'],"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",tt0230600,tt0289043,tt0464141,tt0256009,https://www.youtube.com/embed/HKPy5RWuqNA,https://Trailers.to/player/embed/imdb/tt0387564
