,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
0,tt6723592,Tenet,Action,434527,2020.0,150.0,7.4,https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy.jpg,"['United States', 'United Kingdom']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time",tt1160419,tt3480822,tt6334354,tt7713068,https://www.youtube.com/embed/gxuT5yqZJh8,https://Trailers.to/player/embed/imdb/tt6723592
1,tt1160419,Dune,Action,307660,2021.0,155.0,8.2,https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"['United States', 'Canada']","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",tt6334354,tt3480822,tt6264654,tt2382320,https://www.youtube.com/embed/w0HgHet0sxg,https://Trailers.to/player/embed/imdb/tt1160419
2,tt2948372,Soul,Adventure,284184,2020.0,100.0,8.1,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@.jpg,['United States'],"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife",tt3228774,tt7146812,tt12801262,tt1051906,https://www.youtube.com/embed/Gs--6c7Hn_A,https://Trailers.to/player/embed/imdb/tt2948372
3,tt3480822,Black Widow,Action,271679,2021.0,134.0,6.8,https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,['United States'],Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises,tt6334354,tt6264654,tt1160419,tt9777666,https://www.youtube.com/embed/6SGUlutHc1w,https://Trailers.to/player/embed/imdb/tt3480822
4,tt6334354,The Suicide Squad,Action,243528,2021.0,132.0,7.3,https://m.media-amazon.com/images/M/MV5BNGM3YzdlOWYtNjViZS00MTE2LWE1MWUtZmE2ZTcxZjcyMmU3XkEyXkFqcGdeQXVyODEyMTI1MjA@.jpg,"['United States', 'Canada', 'United Kingdom']","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese",tt3480822,tt6264654,tt9777666,tt1160419,https://www.youtube.com/embed/B_qpey8IS4A,https://Trailers.to/player/embed/imdb/tt6334354
5,tt7713068,Birds of Prey et la fantabuleuse histoire de Harley Quinn,Action,213490,2020.0,109.0,6.1,https://m.media-amazon.com/images/M/MV5BMzQ3NTQxMjItODBjYi00YzUzLWE1NzQtZTBlY2Y2NjZlNzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,['United States'],"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord",tt8936646,tt7846844,tt1502397,tt7556122,https://www.youtube.com/embed/A2qYFSyTJ6U,https://Trailers.to/player/embed/imdb/tt7713068
6,tt1051906,The Invisible Man,Drama,197749,2020.0,124.0,7.1,https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"['Australia', 'United States']","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",tt1070874,tt8332922,tt9770150,tt10272386,https://www.youtube.com/embed/aNLDY22_nlc,https://Trailers.to/player/embed/imdb/tt1051906
7,tt6264654,Free Guy,Action,196067,2021.0,115.0,7.2,https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg,"['United States', 'Canada']","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.""]",tt5034838,tt7888964,tt9777666,tt6334354,https://www.youtube.com/embed/kgcgg92hmpE,https://Trailers.to/player/embed/imdb/tt6264654
8,tt3228774,Cruella,Adventure,185645,2021.0,134.0,7.4,https://m.media-amazon.com/images/M/MV5BOWI5YTUxOWEtZmRiZS00ZmQxLWE2NzctYTRiODA2NzE1ZjczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg,"['United States', 'United Kingdom']",A live-action prequel feature film following a young Cruella de Vil,tt12801262,tt7146812,tt7979580,tt9243804,https://www.youtube.com/embed/57SYFRtLoLo,https://Trailers.to/player/embed/imdb/tt3228774
9,tt8936646,Tyler Rake,Action,182257,2020.0,116.0,6.7,https://m.media-amazon.com/images/M/MV5BMDJiNzUwYzEtNmQ2Yy00NWE4LWEwNzctM2M0MjE0OGUxZTA3XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"['United States', 'Canada', 'Thailand']","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",tt7846844,tt7556122,tt1502397,tt7713068,https://www.youtube.com/embed/xso-ELEIlss,https://Trailers.to/player/embed/imdb/tt8936646
10,tt5034838,Godzilla vs Kong,Action,179609,2021.0,113.0,6.4,https://m.media-amazon.com/images/M/MV5BZmYzMzU4NjctNDI0Mi00MGExLWI3ZDQtYzQzYThmYzc2ZmNjXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg,"['United States', 'Australia', 'Canada', 'India']",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance,tt0293429,tt6264654,tt9777666,tt0870154,https://www.youtube.com/embed/w8Pr9V2M-rE,https://Trailers.to/player/embed/imdb/tt5034838
